H.CapsLock,H.t,H.h,H.e,H.space,H.q,H.u,H.i,H.c,H.k,H.b,H.r,H.o,H.w,H.n,H.f,H.x,H.j,H.m,H.p,H.s,H.v,H.l,H.a,H.z,H.y,H.d,H.g,H..,"H.,",H.Backspace,H.Return,H.-,H.=,H.4,H.@,H.Shift,H.2,H.0,H.3,H.Key.num_lock,H.',H.nan,H.Right,H.Left,H.1,H.5,H.6,UD.CapsLock,UD.t,UD.h,UD.e,UD.space,UD.q,UD.u,UD.i,UD.c,UD.k,UD.b,UD.r,UD.o,UD.w,UD.n,UD.f,UD.x,UD.j,UD.m,UD.p,UD.s,UD.v,UD.l,UD.a,UD.z,UD.y,UD.d,UD.g,UD..,"UD.,",UD.Backspace,UD.Return,UD.-,UD.=,UD.4,UD.@,UD.Shift,UD.2,UD.0,UD.3,UD.Key.num_lock,UD.',UD.nan,UD.Right,UD.Left,UD.1,UD.5,UD.6,Anomaly
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8624999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006185723877126,0.0,0.0062941961411188,0.0008747417808097,0.0,0.0120038331880897,0.0053797973172387,0.0028635389017246,0.0,0.0,0.0,0.0156522000414134,0.0098135022811244,0.0028115323029711,0.0,0.0164618429075505,0.0,0.1274574749585804,0.0,0.0033920235612096,0.0,0.0044393790296588,0.0014740909962809,0.0,0.0,0.0278840434904904,8.454672617803427e-06,0.0,0.0037164385059782,0.0035463571917858,0.0,0.0,0.0,0.0,0.0,0.2178693185225302,0.9979187335834344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116865903703513,0.0,Normal
0.0,0.0,0.0,0.8101858491114515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006185723877126,0.0,0.1378662012706801,0.0008747417808097,0.0,0.0120038331880897,0.0053797973172387,0.0028635389017246,0.0,0.0,0.0,0.0156522000414134,0.0098135022811244,0.0028115323029711,0.0,0.0164618429075505,0.0,0.0,0.0,0.0033920235612096,0.0,0.0044393790296588,0.0014740909962809,0.0,0.0,0.0278840434904904,8.454672617803427e-06,0.0,0.0037164385059782,0.0035463571917858,0.0,0.0,0.0,0.0,0.0,0.2178693185225302,0.9979187335834344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116865903703513,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7706332801748028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006185723877126,0.0,0.0062941961411188,0.0008747417808097,0.0,0.0120038331880897,0.0053797973172387,0.0028635389017246,0.0,0.0,0.0,0.0865701484679302,0.0098135022811244,0.0028115323029711,0.0,0.0164618429075505,0.0,0.0,0.0,0.0033920235612096,0.0,0.0044393790296588,0.0014740909962809,0.0,0.0,0.0278840434904904,8.454672617803427e-06,0.0,0.0037164385059782,0.0035463571917858,0.0,0.0,0.0,0.0,0.0,0.2178693185225302,0.9979187335834344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116865903703513,0.0,Normal
0.0,0.0,0.0,0.0,0.7234022171887001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006185723877126,0.0,0.0062941961411188,0.0149276832016193,0.0,0.0120038331880897,0.0053797973172387,0.0028635389017246,0.0,0.0,0.0,0.0156522000414134,0.0098135022811244,0.0028115323029711,0.0,0.0164618429075505,0.0,0.0,0.0,0.0033920235612096,0.0,0.0044393790296588,0.0014740909962809,0.0,0.0,0.0278840434904904,8.454672617803427e-06,0.0,0.0037164385059782,0.0035463571917858,0.0,0.0,0.0,0.0,0.0,0.2178693185225302,0.9979187335834344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116865903703513,0.0,Normal
0.0,0.7211925216741698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144480688901631,0.0,0.0062941961411188,0.0008747417808097,0.0,0.0120038331880897,0.0053797973172387,0.0028635389017246,0.0,0.0,0.0,0.0156522000414134,0.0098135022811244,0.0028115323029711,0.0,0.0164618429075505,0.0,0.0,0.0,0.0033920235612096,0.0,0.0044393790296588,0.0014740909962809,0.0,0.0,0.0278840434904904,8.454672617803427e-06,0.0,0.0037164385059782,0.0035463571917858,0.0,0.0,0.0,0.0,0.0,0.2178693185225302,0.9979187335834344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116865903703513,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4535404840155363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006185723877126,0.0,0.0062941961411188,0.0008747417808097,0.0,0.0120038331880897,0.0053797973172387,0.0028635389017246,0.0,0.0,0.0,0.0156522000414134,0.0098135022811244,0.0028115323029711,0.0,0.0164618429075505,0.0,0.0,0.0,0.0033920235612096,0.0,0.0044393790296588,0.0014740909962809,0.0,0.0,0.0278840434904904,8.454672617803427e-06,0.0,0.0037164385059782,0.0035463571917858,0.368666713158138,0.0,0.0,0.0,0.0,0.2178693185225302,0.9979187335834344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116865903703513,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7810957676483768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006185723877126,0.0,0.0062941961411188,0.0008747417808097,0.0,0.0120038331880897,0.0053797973172387,0.0028635389017246,0.0,0.0,0.0,0.0156522000414134,0.0098135022811244,0.0028115323029711,0.0,0.0164618429075505,0.0,0.0,0.0,0.0033920235612096,0.0,0.0044393790296588,0.0014740909962809,0.0,0.0,0.1132245760922543,8.454672617803427e-06,0.0,0.0037164385059782,0.0035463571917858,0.0,0.0,0.0,0.0,0.0,0.2178693185225302,0.9979187335834344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116865903703513,0.0,Anomalous
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8340493393868691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006185723877126,0.0,0.0062941961411188,0.0008747417808097,0.0,0.0120038331880897,0.0053797973172387,0.0028635389017246,0.0,0.0,0.0,0.0823832404796383,0.0098135022811244,0.0028115323029711,0.0,0.0164618429075505,0.0,0.0,0.0,0.0033920235612096,0.0,0.0044393790296588,0.0014740909962809,0.0,0.0,0.0278840434904904,8.454672617803427e-06,0.0,0.0037164385059782,0.0035463571917858,0.0,0.0,0.0,0.0,0.0,0.2178693185225302,0.9979187335834344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116865903703513,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6820808800893715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006185723877126,0.0,0.0062941961411188,0.0008747417808097,0.0,0.0120038331880897,0.1864950485579989,0.0028635389017246,0.0,0.0,0.0,0.0156522000414134,0.0098135022811244,0.0028115323029711,0.0,0.0164618429075505,0.0,0.0,0.0,0.0033920235612096,0.0,0.0044393790296588,0.0014740909962809,0.0,0.0,0.0278840434904904,8.454672617803427e-06,0.0,0.0037164385059782,0.0035463571917858,0.0,0.0,0.0,0.0,0.0,0.2178693185225302,0.9979187335834344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116865903703513,0.0,Normal
0.0,0.0,0.0,0.0,0.8375565023898139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006185723877126,0.0,0.0062941961411188,0.0172042650004016,0.0,0.0120038331880897,0.0053797973172387,0.0028635389017246,0.0,0.0,0.0,0.0156522000414134,0.0098135022811244,0.0028115323029711,0.0,0.0164618429075505,0.0,0.0,0.0,0.0033920235612096,0.0,0.0044393790296588,0.0014740909962809,0.0,0.0,0.0278840434904904,8.454672617803427e-06,0.0,0.0037164385059782,0.0035463571917858,0.0,0.0,0.0,0.0,0.0,0.2178693185225302,0.9979187335834344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116865903703513,0.0,Normal
