key,press_time,release_time,hold_time,flight_time
n,1739966514.1681285,1739966514.254641,0.0865125656127929,0.1782612800598144
a,1739966514.997834,1739966515.0830257,0.0851917266845703,0.8297054767608643
u,1739966515.134048,1739966515.2200823,0.0860342979431152,0.136214017868042
t,1739966515.338002,1739966515.411653,0.0736510753631591,0.2039539813995361
h,1739966515.5024512,1739966515.5843086,0.0818574428558349,0.1644492149353027
o,1739966515.698685,1739966515.789333,0.0906481742858886,0.1962337493896484
r,1739966515.8172934,1739966515.894776,0.0774824619293212,0.1186084747314453
i,1739966515.926172,1739966516.0124276,0.0862555503845214,0.1088786125183105
z,1739966516.1488812,1739966516.2223368,0.0734555721282959,0.2227091789245605
x,1739966516.1453152,1739966516.2317498,0.0864346027374267,-0.003566026687622
Key.backspace,1739966517.3105288,1739966517.4103024,0.0997736454010009,1.1652135848999023
z,1739966517.7115378,1739966517.8062117,0.0946736335754394,0.4010090827941894
e,1739966517.9522874,1739966518.0303493,0.078061819076538,0.2407495975494384
d,1739966518.1395302,1739966518.2218702,0.0823400020599365,0.1872427463531494
Key.space,1739966518.275147,1739966518.3624182,0.0872712135314941,0.1356167793273925
a,1739966519.8608215,1739966519.9654655,0.1046438217163086,1.58567476272583
c,1739966520.102076,1739966520.184913,0.0828368663787841,0.2412543296813964
c,1739966520.2571692,1739966520.3490884,0.0919191837310791,0.1550931930541992
e,1739966520.457708,1739966520.5479906,0.0902826786041259,0.2005386352539062
s,1739966520.658198,1739966520.7536857,0.0954875946044921,0.2004902362823486
s,1739966520.831009,1739966520.9228802,0.0918715000152587,0.1728105545043945
.,1739966521.519487,1739966521.6013868,0.081899881362915,0.6884782314300537
Key.space,1739966521.692374,1739966521.7786014,0.0862274169921875,0.1728870868682861
Key.caps_lock,1739966521.8509762,1739966521.960813,0.1098368167877197,0.158602237701416
b,1739966522.0119357,1739966522.084721,0.0727856159210205,0.160959243774414
Key.caps_lock,1739966522.0935075,1739966522.1883538,0.0948462486267089,0.0815720558166503
i,1739966522.3521,1739966522.4346387,0.0825388431549072,0.2585923671722412
