x,y,timestamp
744,690,1738407792.9609225
782,650,1738407792.9677749
822,606,1738407792.9788747
866,570,1738407792.987039
905,539,1738407792.991254
948,509,1738407792.9956079
985,491,1738407793.0020015
1013,479,1738407793.0109894
1046,471,1738407793.0162945
1073,463,1738407793.0253348
1088,460,1738407793.0334582
1109,457,1738407793.0377853
1125,457,1738407793.0496786
1145,457,1738407793.052057
1158,460,1738407793.0592723
1173,463,1738407793.0662243
1186,470,1738407793.077443
1198,478,1738407793.0794535
1208,488,1738407793.0918195
1213,497,1738407793.0986514
1219,511,1738407793.1055918
1222,522,1738407793.1121411
1223,533,1738407793.1195912
1223,546,1738407793.1264164
1223,558,1738407793.1336575
1222,568,1738407793.1403515
1217,579,1738407793.1475039
1213,585,1738407793.1548634
1206,592,1738407793.1613772
1198,599,1738407793.168479
1183,606,1738407793.1753123
1164,611,1738407793.182878
1145,615,1738407793.1892967
1118,617,1738407793.197106
1104,618,1738407793.2045174
1084,618,1738407793.2103064
1070,617,1738407793.2172763
1053,613,1738407793.224222
1033,606,1738407793.2317104
1021,601,1738407793.2378452
1007,594,1738407793.2454395
991,585,1738407793.2523608
977,576,1738407793.25975
967,567,1738407793.2666245
959,557,1738407793.2735698
950,547,1738407793.280677
943,537,1738407793.2875288
935,527,1738407793.2952054
930,519,1738407793.3015685
924,510,1738407793.3080282
920,502,1738407793.3155222
916,493,1738407793.3219457
915,485,1738407793.3289673
913,479,1738407793.3370926
912,470,1738407793.343541
912,460,1738407793.350667
914,449,1738407793.3567204
916,440,1738407793.3655005
917,432,1738407793.371871
919,426,1738407793.3776698
920,419,1738407793.3843026
921,415,1738407793.3933504
922,410,1738407793.3984442
922,407,1738407793.4066367
923,405,1738407793.4121754
924,402,1738407793.4204319
925,400,1738407793.4260774
925,399,1738407793.4349527
927,396,1738407793.4424496
931,393,1738407793.4469025
941,387,1738407793.4557502
959,381,1738407793.460791
987,379,1738407793.4709055
1020,380,1738407793.4745762
1035,382,1738407793.4816728
1061,392,1738407793.488356
1081,402,1738407793.495382
1100,412,1738407793.5024927
1127,431,1738407793.509373
1149,447,1738407793.516156
1187,473,1738407793.5259595
1231,505,1738407793.53329
1249,523,1738407793.5384002
1272,545,1738407793.5443144
1291,565,1738407793.5540626
1302,582,1738407793.558071
1310,602,1738407793.5681686
1313,613,1738407793.57316
1313,622,1738407793.5790534
1312,630,1738407793.5897546
1305,640,1738407793.5937693
1291,651,1738407793.5994277
1266,662,1738407793.6075606
1228,673,1738407793.613295
1191,680,1738407793.6234744
1132,690,1738407793.626988
1061,695,1738407793.6384923
1022,698,1738407793.6449652
963,698,1738407793.649957
897,695,1738407793.6577768
837,687,1738407793.6665154
765,674,1738407793.6741767
706,662,1738407793.6759915
