x,y,timestamp,dx,dy,dt,speed,acceleration
1478,488,1738371707.793768,,,0.0072116851806640625,,
1478,488,1738371707.8009796,0.0,0.0,0.0072116851806640625,0.0,
1477,488,1738371707.853963,-1.0,0.0,0.05298328399658203,0.0004183584571203914,0.12504626606565172
1477,488,1738371707.8583937,0.0,0.0,0.0044307708740234375,0.0,0.12502877388150443
1476,488,1738371707.870818,-1.0,0.0,0.012424230575561523,0.0017840947824634022,0.12506946572269917
1476,489,1738371707.8728435,0.0,1.0,0.002025604248046875,0.010942909982221086,0.1258179172875731
1476,489,1738371708.038987,0.0,0.0,0.16614341735839844,0.0,0.1250336559802245
1475,489,1738371708.306082,-1.0,0.0,0.26709508895874023,8.298918947703191e-05,0.1250449692738668
1475,489,1738371708.3073485,0.0,0.0,0.0012664794921875,0.0,0.12503371355562112
1475,489,1738371708.309641,0.0,0.0,0.0022923946380615234,0.0,0.12504491615472454
1475,489,1738371708.312168,0.0,0.0,0.002526998519897461,0.0,0.12504491615472454
1474,489,1738371708.3126707,-1.0,0.0,0.0005028247833251953,0.04408296026977257,0.1400331171635451
1474,490,1738371708.3150375,0.0,1.0,0.002366781234741211,0.0093654642096253,0.12253715765587173
1474,490,1738371708.3150375,0.0,0.0,0.002753019332885742,0.0,0.12446332809639851
1474,491,1738371708.3177905,0.0,1.0,0.002753019332885742,0.00805152534935051,0.1255449096296533
1473,491,1738371708.318793,-1.0,0.0,0.0010025501251220703,0.022109622641843126,0.1274421802586396
1473,491,1738371708.3210154,0.0,0.0,0.002222299575805664,0.0,0.12334403425235728
1473,491,1738371708.322018,0.0,0.0,0.0010025501251220703,0.0,0.12504491615472454
1472,492,1738371708.32506,-1.0,1.0,0.003041982650756836,0.010304945299552287,0.1256240572608769
1472,492,1738371708.3271184,0.0,0.0,0.0020585060119628906,0.0,0.12418908324142855
1472,492,1738371708.3271184,0.0,0.0,0.002044200897216797,0.0,0.12504491615472454
1471,493,1738371708.3291626,-1.0,1.0,0.002044200897216797,0.015334825877885193,0.12632739646980554
1470,493,1738371708.3330529,-1.0,0.0,0.0038902759552001953,0.005697797585888972,0.1246214115289256
1470,494,1738371708.3349893,0.0,1.0,0.0019364356994628906,0.011446806600461754,0.12555247376319068
1470,494,1738371708.3354924,0.0,0.0,0.0005030632019042969,0.0,0.12115484784273162
1470,495,1738371708.3376825,0.0,1.0,0.002190113067626953,0.010120940911054904,0.12583495743872716
1469,495,1738371708.338686,-1.0,0.0,0.0010035037994384766,0.022088610883571003,0.12708376963328055
1469,495,1738371708.33969,0.0,0.0,0.0010039806365966797,0.0,0.12128361158904175
1469,495,1738371708.3419857,0.0,0.0,0.0022957324981689453,0.0,0.12504491615472454
1469,496,1738371708.342497,0.0,1.0,0.0005114078521728516,0.043343106391119046,0.13953423853208913
1468,496,1738371708.345054,-1.0,0.0,0.0025568008422851562,0.008669429616649604,0.12272646244597613
1468,496,1738371708.3455577,0.0,0.0,0.0005037784576416016,0.0,0.12210289110653288
1468,497,1738371708.3477082,0.0,1.0,0.0021505355834960938,0.010307202129595383,0.12586430414312325
1468,497,1738371708.3477082,0.0,0.0,0.001476287841796875,0.0,0.12385129863932462
1467,497,1738371708.3491845,-1.0,0.0,0.001476287841796875,0.015014690440721956,0.1267836806878168
1467,498,1738371708.3502274,0.0,1.0,0.0010428428649902344,0.021255364245301864,0.1260679924970463
1467,499,1738371708.351795,0.0,1.0,0.0015676021575927734,0.014140070450030472,0.1242689327779309
1466,499,1738371708.3528,-1.0,0.0,0.001004934310913086,0.022057168021103284,0.12639178018973582
1466,499,1738371708.3538494,0.0,0.0,0.0010495185852050781,0.0,0.12145193407490243
1466,500,1738371708.3560064,0.0,1.0,0.002156972885131836,0.01027644116380572,0.1258594206540388
1466,500,1738371708.3570602,0.0,0.0,0.0010538101196289062,0.0,0.12337776180963493
1465,501,1738371708.35806,-1.0,1.0,0.0009996891021728516,0.031357213707843466,0.13040742400972277
1465,501,1738371708.3590634,0.0,0.0,0.0010035037994384766,0.0,0.11970279321910858
1465,502,1738371708.3605669,0.0,1.0,0.0015034675598144531,0.014743254552640398,0.12672138209861927
1465,503,1738371708.3620827,0.0,1.0,0.0015158653259277344,0.0146226743015021,0.12503131702870193
1465,503,1738371708.3625855,0.0,0.0,0.0005028247833251953,0.0,0.12007320871093678
1464,504,1738371708.363597,-1.0,1.0,0.0010113716125488281,0.030995001668313916,0.13028425320469028
1463,505,1738371708.3656938,-1.0,1.0,0.002096891403198242,0.01494949369834993,0.12373671970946805
1463,505,1738371708.3667018,0.0,0.0,0.0010080337524414062,0.0,0.12250951406628467
1463,507,1738371708.3691125,0.0,2.0,0.0024106502532958984,0.018390062943121423,0.12634911689748796
1463,507,1738371708.370115,0.0,0.0,0.0010025501251220703,0.0,0.12190894143175644
1462,509,1738371708.371619,-1.0,2.0,0.0015039443969726562,0.03295646697350111,0.12879123124083403
1462,510,1738371708.3736317,0.0,1.0,0.0020127296447753906,0.011012907274218237,0.12318103992137544
1462,511,1738371708.3746326,0.0,1.0,0.0010008811950683594,0.02214648956859227,0.1269466416429437
1461,511,1738371708.3756332,-1.0,0.0,0.0010006427764892578,0.022151766311401085,0.12504581768910966
1461,512,1738371708.3766365,0.0,1.0,0.001003265380859375,0.02209386007817261,0.12503504870500748
1461,512,1738371708.3779905,0.0,0.0,0.0013539791107177734,0.0,0.122255231789133
1461,513,1738371708.378493,0.0,1.0,0.0005025863647460938,0.0441038724900144,0.1400473408410451
1460,513,1738371708.3794973,-1.0,0.0,0.0010042190551757812,0.022072878254736552,0.12129431336569828
1460,515,1738371708.3820765,0.0,2.0,0.002579212188720703,0.017188198041957915,0.12472114027082085
1460,515,1738371708.3825796,0.0,0.0,0.0005030632019042969,0.0,0.11920370061950425
1460,516,1738371708.383591,0.0,1.0,0.0010113716125488281,0.021916775862553122,0.12874968691167724
1460,516,1738371708.3845942,0.0,0.0,0.001003265380859375,0.0,0.1213102114135189
1460,517,1738371708.386048,0.0,1.0,0.0014538764953613281,0.015246140244170276,0.12683769957949598
1460,517,1738371708.386048,0.0,0.0,0.0014510154724121094,0.0,0.12324859783000287
1460,518,1738371708.387499,0.0,1.0,0.0014510154724121094,0.015276201644585994,0.1268447763492945
1459,519,1738371708.3885343,-1.0,1.0,0.0010352134704589844,0.030281160082217328,0.12752291052628695
1459,520,1738371708.3899608,0.0,1.0,0.0014264583587646484,0.015539188234823727,0.12327809775828258
1459,520,1738371708.3910823,0.0,0.0,0.00112152099609375,0.0,0.12267618183508926
1459,521,1738371708.3915856,0.0,1.0,0.0005033016204833984,0.04404119526714844,0.14000473042558023
1459,521,1738371708.3925962,0.0,0.0,0.0010106563568115234,0.0,0.11759500628782756
1459,523,1738371708.3939853,0.0,2.0,0.0013890266418457031,0.031915881637126796,0.12897309907865775
1459,523,1738371708.3939853,0.0,0.0,0.0014376640319824219,0.0,0.12124962698145177
1458,524,1738371708.395423,-1.0,1.0,0.0014376640319824219,0.021804443959699445,0.12763779988046237
1458,524,1738371708.396426,0.0,0.0,0.0010030269622802734,0.0,0.12132847002536895
1458,526,1738371708.3974297,0.0,2.0,0.0010037422180175781,0.04416672836529708,0.13256752486166187
1458,526,1738371708.3984332,0.0,0.0,0.0010035037994384766,0.0,0.11752052018033488
1458,527,1738371708.3994389,0.0,1.0,0.0010056495666503906,0.022041480134886285,0.1287919664069297
1458,527,1738371708.4004433,0.0,0.0,0.0010044574737548828,0.0,0.12129341889296302
1458,528,1738371708.401947,0.0,1.0,0.0015037059783935547,0.014740916950840392,0.12672085052004348
1458,529,1738371708.402954,0.0,1.0,0.001007080078125,0.02201017121424014,0.12627893356838668
1458,530,1738371708.402954,0.0,1.0,0.0015025138854980469,0.014752612378443407,0.12421913017645421
1458,531,1738371708.4044566,0.0,1.0,0.0015025138854980469,0.014752612378443407,0.12504491615472454
1458,532,1738371708.405468,0.0,1.0,0.0010113716125488281,0.021916775862553122,0.12625593293659101
1458,533,1738371708.4064703,0.0,1.0,0.0010023117065429688,0.022114881828960598,0.1250787063098879
1458,534,1738371708.407473,0.0,1.0,0.0010027885437011719,0.0221043659555279,0.1250431233564732
1458,534,1738371708.4087825,0.0,0.0,0.0013093948364257812,0.0,0.12215887266349094
1458,535,1738371708.4097884,0.0,1.0,0.0010058879852294922,0.022036255797333575,0.12879019034332045
1458,536,1738371708.4107883,0.0,1.0,0.0009999275207519531,0.022167611637804088,0.12506737442475596
1458,537,1738371708.4117937,0.0,1.0,0.001005411148071289,0.022046706950189794,0.12502435749131782
1458,537,1738371708.4128883,0.0,0.0,0.0010945796966552734,0.0,0.12160148206572176
1458,538,1738371708.4140148,0.0,1.0,0.0011265277862548828,0.019676394329936585,0.12803097967999266
1458,538,1738371708.415026,0.0,0.0,0.0010111331939697266,0.0,0.12171807103402381
1458,540,1738371708.4163868,0.0,2.0,0.0013608932495117188,0.032575670360529205,0.12913719044410227
1458,540,1738371708.4173918,0.0,0.0,0.001004934310913086,0.0,0.119503112680521
1458,541,1738371708.4187098,0.0,1.0,0.0013179779052734375,0.016818191607986675,0.1272264733296211
1458,542,1738371708.4200664,0.0,1.0,0.0013566017150878906,0.016339360845158236,0.12498457340231835
1458,543,1738371708.4200664,0.0,1.0,0.0018236637115478516,0.012154655930049727,0.12465261867678834
1458,544,1738371708.42189,0.0,1.0,0.0018236637115478516,0.012154655930049727,0.12504491615472454
1458,544,1738371708.4228988,0.0,0.0,0.001008749008178711,0.0,0.12298497420414481
1458,545,1738371708.4240608,0.0,1.0,0.0011620521545410156,0.019074879607909385,0.12785120014489665
1458,546,1738371708.4250665,0.0,1.0,0.0010056495666503906,0.022041480134886285,0.12554923805982232
1458,547,1738371708.4250665,0.0,1.0,0.0012514591217041016,0.017712128635730684,0.12445348852082314
1458,548,1738371708.426318,0.0,1.0,0.0012514591217041016,0.017712128635730684,0.12504491615472454
1458,548,1738371708.4280612,0.0,0.0,0.001743316650390625,0.0,0.12330795577268779
1458,549,1738371708.4290612,0.0,1.0,0.0009999275207519531,0.022167611637804088,0.12883497380522474
1458,550,1738371708.430062,0.0,1.0,0.0010008811950683594,0.02214648956859227,0.12504130829731425
1458,551,1738371708.430062,0.0,1.0,0.0015034675598144531,0.014743254552640398,0.12420308904426001
1458,551,1738371708.4315655,0.0,0.0,0.0015034675598144531,0.0,0.12336845021082983
1458,553,1738371708.432579,0.0,2.0,0.0010135173797607422,0.04374074956901922,0.13242311667513998
1458,553,1738371708.433862,0.0,0.0,0.0012829303741455078,0.0,0.11921612403201762
1458,554,1738371708.433862,0.0,1.0,0.001313924789428711,0.016870071349836754,0.12723995316015196
1458,555,1738371708.435176,0.0,1.0,0.001313924789428711,0.016870071349836754,0.12504491615472454
1458,556,1738371708.4362907,0.0,1.0,0.0011148452758789062,0.019882584090879032,0.12550688185101985
1458,556,1738371708.4373546,0.0,0.0,0.0010638236999511719,0.0,0.1218497120908995
1458,557,1738371708.4385526,0.0,1.0,0.0011980533599853516,0.018501684220686637,0.12768507791275285
1459,558,1738371708.4396734,1.0,1.0,0.0011208057403564453,0.027968686891509813,0.12648895071159386
1459,559,1738371708.4407914,0.0,1.0,0.0011179447174072266,0.019827460697152986,0.12379992883986142
1460,560,1738371708.4417956,1.0,1.0,0.0010042190551757812,0.031215763788458608,0.12698368482219266
1460,560,1738371708.442799,0.0,0.0,0.0010035037994384766,0.0,0.11972689111459213
1460,562,1738371708.44407,0.0,2.0,0.0012710094451904297,0.03487937092813744,0.12973645480947812
1460,562,1738371708.44407,0.0,0.0,0.0012667179107666016,0.0,0.12033748295907398
1460,563,1738371708.4453368,0.0,1.0,0.0012667179107666016,0.017498769661010796,0.12740660694768643
1461,563,1738371708.446556,1.0,0.0,0.0012192726135253906,0.018179695582508867,0.12514039221312406
1461,565,1738371708.4478345,0.0,2.0,0.0012784004211425781,0.034677718466598416,0.12725119514794614
1461,565,1738371708.4488387,0.0,0.0,0.0010042190551757812,0.0,0.11914130843693825
1462,566,1738371708.449844,1.0,1.0,0.0010051727294921875,0.031186147314276005,0.1303490742696934
1463,566,1738371708.4519038,1.0,0.0,0.0020599365234375,0.01076052814918407,0.1233497322287224
1463,567,1738371708.4529054,0.0,1.0,0.001001596450805664,0.022130674412985087,0.12698566219076549
1463,568,1738371708.4529054,0.0,1.0,0.0014147758483886719,0.015667503068579433,0.12426391178181263
1463,569,1738371708.4543202,0.0,1.0,0.0014147758483886719,0.015667503068579433,0.12504491615472454
1464,569,1738371708.4553246,1.0,0.0,0.0010044574737548828,0.022067639024198994,0.12613423013751857
1464,570,1738371708.4566674,0.0,1.0,0.0013427734375,0.016507628410680104,0.12433702202260832
1464,570,1738371708.4579256,0.0,0.0,0.0012581348419189453,0.0,0.12280179398340911
1465,572,1738371708.4579256,1.0,2.0,0.0014297962188720703,0.034665565060671165,0.1291898687959201
1465,572,1738371708.4593554,0.0,0.0,0.0014297962188720703,0.0,0.12089996351352901
1466,573,1738371708.4603858,1.0,1.0,0.0010304450988769531,0.03042128576515216,0.13009208857280077
1466,573,1738371708.4619014,0.0,0.0,0.0015156269073486328,0.0,0.12161344231629047
1467,575,1738371708.4629126,1.0,2.0,0.0010111331939697266,0.0490189563001285,0.13333294255094338
1467,575,1738371708.4639914,0.0,0.0,0.0010788440704345703,0.0,0.11727706644282088
1467,576,1738371708.4639914,0.0,1.0,0.0014777183532714844,0.015000155406413416,0.12678031588060687
1468,576,1738371708.4654691,1.0,0.0,0.0014777183532714844,0.015000155406413416,0.12504491615472454
1468,577,1738371708.4667234,0.0,1.0,0.0012543201446533203,0.017671728418352094,0.1254090441614073
1468,577,1738371708.4678016,0.0,0.0,0.0010781288146972656,0.0,0.12224268595919674
1469,578,1738371708.4688032,1.0,1.0,0.001001596450805664,0.03129749989930675,0.13038701971771474
1470,579,1738371708.4688032,1.0,1.0,0.0014405250549316406,0.021761138212013843,0.12391314836094786
1470,579,1738371708.4702437,0.0,0.0,0.0014405250549316406,0.0,0.12246232163997395
1470,580,1738371708.471748,0.0,1.0,0.0015044212341308594,0.014733908590958852,0.12671925730042474
1471,580,1738371708.472825,1.0,0.0,0.0010769367218017578,0.020582458093635233,0.1259733552453269
1471,581,1738371708.4738588,0.0,1.0,0.001033782958984375,0.021441642806492238,0.12518700258572726
1472,582,1738371708.474923,1.0,1.0,0.0010640621185302734,0.029460183077971686,0.1263332362048515
1472,582,1738371708.4761496,0.0,0.0,0.001226663589477539,0.0,0.12093904421105817
1473,583,1738371708.4761496,1.0,1.0,0.00138092041015625,0.022700413859977148,0.12785526712293405
1473,583,1738371708.4775305,0.0,0.0,0.00138092041015625,0.0,0.12223456518651504
1474,584,1738371708.479031,1.0,1.0,0.0015006065368652344,0.020889862897519484,0.1274248461848575
1474,584,1738371708.479031,0.0,0.0,0.0014865398406982422,0.0,0.12264246553569379
1475,585,1738371708.4805176,1.0,1.0,0.0014865398406982422,0.02108753762261229,0.12747010046846627
1475,585,1738371708.4817057,0.0,0.0,0.001188039779663086,0.0,0.12201039393995841
1476,586,1738371708.4827178,1.0,1.0,0.0010120868682861328,0.030973097073495322,0.1302768503980555
1476,587,1738371708.4836712,0.0,1.0,0.0009534358978271484,0.02324855294047271,0.12365982998573401
